name,link,lang,where,video,article,book,website,other
Ten Arguments for Deleting Your Social Media Accounts,http://jaronlanier.com/tenarguments.html,en,,0,0,1,0,0
What is Free Software,https://fsfe.org/freesoftware/freesoftware.en.html,en,,0,1,0,0,0
Cos'è il Software Libero,https://fsfe.org/freesoftware/freesoftware.it.html,it,,0,1,0,0,0
AlternativeTo,https://alternativeto.net/,en,,0,0,0,1,0
Switching Software,https://switching.software/,en,,0,0,0,1,0
PrivacyTools,https://privacytools.io/,en,,0,0,0,1,0
PrivacyTools,https://privacytools-it.github.io/,it,,0,0,0,1,0
Tommi's website,https://tommi.space,it,/about,0,0,0,1,0
Intervista a Jaron Lanier - Il Tascabile,https://www.iltascabile.com/scienze/intervista-lanier/,it,,0,1,0,0,0
,,,,0,0,0,0,0
,,,,0,0,0,0,0
,,,,0,0,0,0,0
,,,,0,0,0,0,0
,,,,0,0,0,0,0
